insee,commune_name,total_tiles,total_population,total_households,avg_income_person,mean_poverty_rate,avg_income_person_popweighted,mean_poverty_rate_hhweighted
77529,Voulangis,1,858.5,315.1,29287.95,2.86,29287.95,2.86
57140,Chesny,1,530.5,196.1,29286.71,4.54,29286.71,4.54
01054,Bourg-Saint-Christophe,1,878.0,317.0,29284.4,3.44,29284.400000000005,3.44
77217,Grisy-Suisnes,6,1963.0,754.9,28809.368333333332,5.81,29280.47054763118,5.39276990329845
91648,Vert-le-Grand,5,1161.5,430.0,30256.706,9.298,29274.673534222984,6.279306976744188
91599,Soisy-sur-École,2,560.0,234.99999999999997,29262.559999999998,4.115,29273.156535714286,7.704680851063831
78460,Oinville-sur-Montcient,1,356.0,141.0,29267.67,6.45,29267.67,6.45
83001,Les Adrets-de-l'Estérel,5,1415.0,586.1,28176.344,11.040000000000001,29266.67707420495,9.91067053403856
59034,Avelin,4,1856.5,756.8999999999999,28671.8375,3.6475,29264.84727982763,4.096175188267935
01214,Leyssard,1,50.0,22.3,29262.44,3.59,29262.44,3.59
57361,Kerling-lès-Sierck,5,353.0,135.10000000000002,29106.01,8.008,29259.18549575071,10.585840118430792
77177,Favières,9,824.5,323.00000000000006,27205.442222222224,14.313333333333333,29258.584505761068,7.927232198142416
77269,Maincy,2,487.0,204.8,30696.239999999998,8.7,29248.46981519507,4.9296875
76616,Saint-Martin-du-Manoir,1,1126.5,418.1,29246.33,1.46,29246.33,1.46
38153,Engins,4,173.5,75.0,25728.1425,13.555,29243.180634005763,5.466133333333333
68291,Rumersheim-le-Haut,5,1062.5,433.3,30814.738,6.2,29238.401209411764,4.108495268866836
60579,Saint-Jean-aux-Bois,6,132.5,60.6,28835.876666666667,10.593333333333334,29236.65728301887,9.403514851485149
14274,Fontaine-Étoupefour,1,1067.0,426.1,29231.74,4.46,29231.74,4.46
21270,Flavignerot,2,218.5,78.4,27977.120000000003,2.235,29231.642356979406,3.8257270408163264
77133,Courcelles-en-Bassée,2,51.0,21.1,27118.129999999997,5.0,29227.44392156863,0.4739336492890995
68118,Habsheim,4,3723.0,1658.7000000000003,31352.8125,5.035,29227.32947891485,6.039487550491348
57634,Saulny,2,315.5,138.6,27905.125,6.855,29226.765213946113,8.082727272727274
74206,Orcier,3,504.0,201.20000000000002,29819.713333333333,7.63,29220.811220238094,8.447619284294234
69287,Saint-Bonnet-de-Mure,4,2953.0,1045.8,29206.3,3.1625,29217.563049441247,3.222764390896921
78564,Saint-Martin-de-Bréthencourt,5,500.0,181.1,28954.572000000004,8.016,29217.095900000004,4.911430149088902
91226,Étréchy,2,400.0,154.1,28582.690000000002,2.85,29216.992,2.4687994808565867
69289,Saint-Pierre-de-Chandieu,10,3245.5,1258.7,30633.890000000003,4.15,29216.077357880145,4.61591006594105
26271,La Roche-de-Glun,1,43.0,17.9,29216.03,0.0,29216.030000000002,0.0
45217,Morville-en-Beauce,2,13.0,5.3999999999999995,26467.025,6.25,29215.296153846153,1.851851851851852
91159,Chevannes,1,318.5,127.5,29213.47,6.9,29213.47,6.9
69208,Saint-Germain-Nuelles,2,488.0,181.79999999999998,30271.875,3.22,29213.070635245902,6.053883388338835
54138,Cosnes-et-Romain,6,2055.5,845.1,28801.22,9.525,29212.300827049377,8.415049106614601
90027,Courcelles,2,118.0,49.99999999999999,29545.21,8.265,29210.956440677965,8.203119999999998
65385,Saint-Arroman,1,31.0,15.0,29208.97,20.0,29208.97,20.0
06059,Èze,5,680.0,322.2,30965.396,19.308,29208.423992647062,17.318764742396027
01152,Échallon,11,728.0,288.3,29738.97909090909,4.082727272727272,29208.144162087912,4.82329171002428
77254,Liverdy-en-Brie,4,1096.5,395.8,29913.78,3.3425000000000002,29204.452594619244,3.539315310763011
77308,Montgé-en-Goële,3,687.5,260.99999999999994,30685.680000000004,4.926666666666667,29200.839396363644,5.709938697318009
91508,Puiselet-le-Marais,2,169.0,67.9,30248.57,1.855,29200.25372781065,2.945051546391752
25386,Montancy,4,94.0,43.9,27898.585,6.8549999999999995,29196.18489361702,4.328883826879271
02525,Morcourt,1,89.5,39.2,29194.97,9.69,29194.97,9.69
54584,Villey-Saint-Étienne,1,134.5,58.1,29193.8,5.16,29193.8,5.16
54314,Lexy,1,1014.5,434.59999999999997,29188.56,5.27,29188.56,5.27
10069,Buxières-sur-Arce,1,107.5,47.1,29188.36,11.25,29188.36,11.25
95308,Hérouville-en-Vexin,1,501.0,188.0,29187.19,3.72,29187.19,3.72
77389,La Rochette,1,892.0,392.0,29186.56,5.33,29186.56,5.33
51555,Soudé,3,130.0,58.8,27730.356666666663,12.89,29183.98415384615,11.737721088435377
78557,Saint-Hilarion,6,516.5,195.4,29537.286666666667,9.126666666666667,29178.0164375605,5.014564994882292
01088,Charnoz-sur-Ain,1,624.0,237.10000000000002,29176.28,4.22,29176.28,4.22
31044,Balma,7,14148.5,6292.9,29942.53857142857,7.225714285714285,29170.628739795735,7.864688458421395
68278,Rixheim,7,9453.5,4181.1,29528.989999999998,6.909999999999999,29167.4052112974,7.030115041496257
77224,Hautefeuille,2,153.0,61.2,29265.575,4.94,29160.712908496735,4.0843790849673205
2B088,Chiatra,2,31.0,17.4,29159.41,11.27,29159.41,10.921724137931033
74292,Vaulx,3,453.0,166.7,29811.803333333333,7.743333333333333,29154.372803532005,7.9150149970006005
77252,Limoges-Fourches,1,235.0,80.0,29153.82,2.5,29153.82,2.5
60027,Auger-Saint-Vincent,5,453.0,177.5,28948.288,3.5200000000000005,29153.770750551874,4.000270422535212
91017,Angervilliers,2,69.5,25.099999999999998,29786.365,9.59,29153.178848920867,11.953386454183267
13042,Gémenos,9,4943.5,2067.1000000000004,30124.267777777783,7.172222222222222,29152.390926469103,8.496222727492622
54537,Ugny,2,512.5,191.2,29639.13,5.315,29150.99357073171,10.45765167364017
25004,Abbévillers,5,974.5,416.40000000000003,27973.6,13.598000000000003,29150.88962031811,7.922795389048991
45232,Olivet,10,8069.5,3326.6,29981.719,5.518,29146.090974657654,5.599808513196657
34255,Saint-Gély-du-Fesc,6,8400.5,3484.3999999999996,30433.686666666665,6.766666666666667,29139.560291054106,6.7419105154402486
28137,Écrosnes,5,301.5,122.2,30874.498,6.668000000000001,29137.851376451083,8.429852700491
77212,Gravon,1,9.0,4.2,29136.53,0.0,29136.530000000002,0.0
68141,Hochstatt,2,640.0,266.5,31083.379999999997,8.655,29136.40525,3.079204502814259
45249,Paucourt,5,942.5,390.9000000000001,29519.52,1.3199999999999998,29134.277458885943,1.7935149654643128
06084,Mouans-Sartoux,2,2023.0,878.9999999999999,29919.205,8.55,29133.267543252598,10.04943117178612
78311,Houilles,1,11679.5,5008.0,29125.63,9.13,29125.630000000005,9.13
28056,Boutigny-Prouais,13,1317.0,508.4,29912.166923076922,6.164615384615384,29124.716275626426,4.937185287175453
78486,Le Perray-en-Yvelines,5,5106.5,2126.9,30475.674,3.278,29121.73225790659,5.400531759838262
69111,Légny,1,139.5,52.099999999999994,29119.36,15.36,29119.36,15.36
59196,Ennetières-en-Weppes,3,619.5,260.0,29427.48,3.2733333333333334,29117.03621468927,5.309130769230769
10097,Chervey,2,160.5,70.0,28956.98,2.585,29115.551651090344,4.283714285714286
57454,Mécleuves,4,869.0,350.09999999999997,28112.97,3.4125,29115.40103567319,4.544804341616682
30005,Aiguèze,2,25.0,12.200000000000001,29114.4,0.0,29114.400000000005,0.0
38214,Lumbin,1,666.5,256.0,29110.97,5.86,29110.969999999998,5.86
10161,Fresnay,1,12.0,4.4,29108.23,0.0,29108.23,0.0
74264,Scionzier,1,99.5,43.0,29108.02,11.86,29108.02,11.86
60293,Hadancourt-le-Haut-Clocher,2,260.5,91.9,29344.809999999998,2.985,29104.686967370442,3.0448966267682263
74266,Servoz,2,182.0,72.7,28540.085,4.34,29102.502307692306,8.118844566712516
45038,Bondaroy,2,47.0,20.6,28699.3,5.6899999999999995,29100.06425531915,5.825922330097088
91099,Boutigny-sur-Essonne,4,1074.0,399.5,29849.052499999998,2.9175,29098.16527001862,4.480798498122653
77048,Bourron-Marlotte,4,1727.0,709.5,26967.55,11.805,29096.7257209033,8.720892177589851
32210,Lias,1,132.5,43.99999999999999,29092.46,6.82,29092.46,6.820000000000001
67500,Urmatt,1,1.5,0.5,29091.53,0.0,29091.53,0.0
25196,Dasle,1,532.5,218.0,29091.09,4.13,29091.09,4.13
31061,Bellegarde-Sainte-Marie,1,13.0,6.300000000000001,29088.76,12.7,29088.760000000002,12.7
76580,Saint-Georges-sur-Fontaine,2,458.5,189.90000000000003,29022.53,6.225,29084.35411123228,5.790337019483939
38067,Chamagnieu,3,986.5,347.9,28957.433333333334,1.0366666666666666,29083.7308768373,1.0049813164702504
77005,Annet-sur-Marne,3,2901.5,1140.2,29424.11,3.653333333333333,29079.40601930036,4.12070513944922
73208,Pugny-Chatenod,1,315.0,122.89999999999999,29077.65,6.35,29077.65,6.35
25387,Montandon,4,257.0,106.2,26805.9775,14.6675,29075.04645914397,9.228935969868173
91186,Courson-Monteloup,1,99.5,36.0,29067.33,2.78,29067.329999999998,2.78
78220,Les Essarts-le-Roi,5,4211.0,1684.2000000000003,28727.314000000002,9.592,29066.014465685108,5.2286112100700635
60341,Lagny-le-Sec,2,1103.5,371.0,31280.185,1.275,29065.95483461713,2.426280323450135
25288,Fournets-Luisans,11,548.5,212.60000000000002,29105.44818181818,4.582727272727272,29065.245916134918,7.055333960489182
21401,Meloisey,2,295.5,132.9,28564.690000000002,10.095,29060.525634517762,8.58025583145222
67188,Heiligenberg,1,227.5,93.89999999999999,29059.17,5.22,29059.17,5.22
51342,Mancy,1,242.5,104.9,29058.21,2.57,29058.21,2.57
38466,Saint-Vincent-de-Mercuze,1,461.5,202.9,29057.44,4.44,29057.44,4.44
25193,Damprichard,11,1757.5,775.6999999999999,29064.09363636364,8.910909090909092,29057.24825320057,8.545032873533582
69272,Communay,4,2410.5,912.0,28762.760000000002,4.135,29057.159551960172,3.949975877192982
33016,Asques,1,8.0,3.6999999999999997,29055.24,2.7,29055.24,2.7
25589,Vauclusotte,1,13.0,5.7,29053.45,0.0,29053.450000000004,0.0
91519,Richarville,3,381.5,147.20000000000002,26895.686666666665,22.540000000000003,29049.876461336826,6.862887228260869
76534,Rolleville,1,25.5,10.000000000000002,29047.48,5.0,29047.48,5.0
56106,Larmor-Baden,4,833.0,431.9,28915.05,7.375,29046.796122448977,7.825681870803428
64237,Gelos,2,45.5,18.1,29043.27,0.0,29043.270000000004,0.0
51488,Saint-Imoges,3,322.5,120.99999999999999,31676.896666666667,1.6666666666666667,29042.76226356589,4.876033057851239
10048,Bligny,5,144.0,61.0,28709.928000000004,9.072,29041.25444444445,4.917819672131147
76106,Bois-d'Ennebourg,1,208.0,82.9,29040.32,4.83,29040.32,4.83
10416,Villemereuil,1,5.0,1.8,29040.32,5.56,29040.32,5.56
21315,Hauteville-lès-Dijon,1,2.0,1.0,29040.0,10.0,29040.0,10.0
76658,Saint-Vincent-Cramesnil,1,268.5,91.9,29039.56,2.18,29039.56,2.18
77359,Perthes,5,1580.5,635.1999999999999,28789.82,9.302,29031.778408731407,7.602640113350126
